Label,Message,Length,Tokens
ham,"Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside..""",144,"['painful', 'thought', 'happy', 'toughest', 'thing', 'earth', 'toughest', 'acting', 'happy', 'unspoken', 'pain', 'inside']"
ham,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?,91,"['definitely', 'need', 'module', 'e', 'humanities', 'dis', 'sem', 'izzit', 'wan', 'modules']"
ham,I sent you  &lt;#&gt;  bucks,28,"['sent', 'bucks']"
ham,Not yet chikku..wat abt u?,26,"['chikku', 'wat', 'abt']"
ham,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready",154,"['taking', 'derek', 'amp', 'taylor', 'walmart', 'time', 'leave', 'mouse', 'desk', 'text', 'priscilla', 'ready']"
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688,90,"['dear', 'invited', 'xchat', 'final', 'attempt', 'contact', 'txt', 'chat']"
ham,Go chase after her and run her over while she's crossing the street,67,"['chase', 'run', 'crossing', 'street']"
ham,Aight should I just plan to come up later tonight?,50,"['aight', 'plan', 'come', 'later', 'tonight']"
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,147,"['secret', 'admirer', 'reveal', 'thinks', 'r', 'special', 'opt', 'reply', 'reveal', 'stop', 'msg', 'recd', 'cust', 'care']"
ham,No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.,114,"['specialisation', 'work', 'slave', 'labor', 'look', 'month', 'sha', 'cos', 'shakara', 'beggar']"
ham,"Dear relieved of westonzoyland, all going to plan this end too!",63,"['dear', 'relieved', 'westonzoyland', 'going', 'plan', 'end']"
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",149,"['fighting', 'world', 'easy', 'win', 'lose', 'bt', 'fightng', 'close', 'dificult', 'lose', 'lose', 'win', 'lose']"
ham,So wats ur opinion abt him and how abt is character?,52,"['wats', 'opinion', 'abt', 'abt', 'character']"
ham,How i noe... Did ü specify da domain as nusstu... Ü still in sch...,67,"['noe', 'ü', 'specify', 'da', 'domain', 'nusstu', 'ü', 'sch']"
ham,On ma way to school. Can you pls send me ashley's number,56,"['ma', 'way', 'school', 'pls', 'send', 'ashley', 'number']"
ham,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:),116,"['hiya', 'like', 'hlday', 'pics', 'looked', 'horrible', 'took', 'mo', 's', 'camp', 'amrca', 'thing', 'speak', 'soon', 'serena']"
ham,Hi' Test on  &lt;#&gt; rd ....,30,"['hi', 'test', 'rd']"
ham,My sister cleared two round in birla soft yesterday.,52,"['sister', 'cleared', 'round', 'birla', 'soft', 'yesterday']"
ham,Is ur lecture over?,19,['lecture']
spam,U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16,158,"['won', 'nokia', 'plus', 'free', 'digital', 'camera', 'win', 'free', 'auction', 'send', 'nokia']"
ham,Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday,165,"['stop', 'calling', 'saying', 'cancer', 'throat', 'hurts', 'talk', 'answering', 'everyones', 'calls', 'babysitting', 'monday']"
ham,Gud ni8.swt drms.take care,26,"['gud', 'care']"
spam,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,149,"['private', 'account', 'statement', 'xxxxxx', 'shows', 'un', 'redeemed', 'points', 'identifier', 'code', 'expires']"
ham,"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must.",118,"['send', 'birthdate', 'month', 'year', 'tel', 'life', 'partner', 'method', 'calculation', 'reply']"
ham,U wake up already? Thanx 4 e tau sar piah it's quite nice.,58,"['wake', 'thanx', 'e', 'tau', 'sar', 'piah', 'nice']"
spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,160,"['mobile', 'update', 'free', 'oranges', 'latest', 'colour', 'camera', 'mobiles', 'unlimited', 'weekend', 'calls', 'mobile', 'freefone']"
ham,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",152,"['b', 'moving', 'flat', 'cos', 'need', 'arrange', 'pick', 'lamp', 'etc', 'care', 'hello', 'caroline']"
ham,Do u noe wat time e place dat sells 4d closes?,46,"['noe', 'wat', 'time', 'e', 'place', 'dat', 'sells', 'closes']"
ham,"Alright if you're sure, let me know when you're leaving",55,"['alright', 'sure', 'let', 'know', 'leaving']"
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",161,"['sunshine', 'hols', 'claim', 'med', 'holiday', 'send', 'stamped', 'self', 'address', 'envelope', 'drinks', 'uk', 'po', 'box', 'bray', 'wicklow', 'eire', 'quiz', 'starts', 'saturday', 'unsub', 'stop']"
ham,"Don't worry, * is easy once have ingredients!",45,"['worry', 'easy', 'ingredients']"
ham,Buy one egg for me da..please:),31,"['buy', 'egg', 'da']"
ham,I'm hungry buy smth home...,27,"['hungry', 'buy', 'smth', 'home']"
ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",160,"['life', 'means', 'lot', 'love', 'life', 'love', 'people', 'life', 'world', 'calls', 'friends']"
ham,WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE,160,"['regret', 'inform', 'nhs', 'actually', 'report', 'yor', 'local', 'hospital', 'r', 'sorry', 'inconvenience']"
ham,"I can't right this second, gotta hit people up first",52,"['right', 'second', 'got', 'ta', 'hit', 'people']"
ham,"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want",79,"['general', 'price', 'let', 'know', 'want']"
ham,K..k..any special today?,24,"['k', 'k', 'special', 'today']"
spam,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,111,"['recieve', 'tone', 'terms', 'conditions', 'channel', 'teletext', 'pg']"
ham,Y lei?,6,"['y', 'lei']"
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117,158,"['going', 'bahamas', 'callfreefone', 'speak', 'live', 'operator', 'claim', 'bahamas', 'cruise', 'cash', 'opt', 'txt', 'x']"
spam,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,143,"['free', 'entry', 'weekly', 'comp', 'chance', 'win', 'ipod', 'txt', 'pod', 'entry', 'std', 'txt', 'rate', 'apply', 'details']"
ham,Dip's cell dead. So i m coming with him. U better respond else we shall come back.,82,"['dip', 'cell', 'dead', 'm', 'coming', 'better', 'respond', 'shall', 'come']"
ham,"It'll be tough, but I'll do what I have to",42,['tough']
ham,Hope youre not having too much fun without me!! see u tomorrow love jess x,75,"['hope', 'having', 'fun', 'tomorrow', 'love', 'jess', 'x']"
ham,Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back,124,"['pls', 'joke', 'school', 'cos', 'fees', 'university', 'florida', 'actually', 'pls', 'holla']"
spam,Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.,149,"['sexy', 'singles', 'waiting', 'text', 'age', 'followed', 'gender', 'wither', 'm', 'f', 'gay', 'men', 'text', 'age', 'followed']"
ham,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.,95,"['supervisor', 'find', 'lor', 'thk', 'students', 'nt', 'ask', 'tell', 'aft', 'ask']"
ham,Y so late but i need to go n get da laptop...,45,"['y', 'late', 'need', 'n', 'da', 'laptop']"
ham,"Ta-Daaaaa! I am home babe, are you still up ?",45,"['ta', 'daaaaa', 'home', 'babe']"
ham,Ok lor...,9,"['ok', 'lor']"
ham,Jesus armand really is trying to tell everybody he can find,59,"['jesus', 'armand', 'trying', 'tell', 'everybody', 'find']"
ham,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me",165,"['shit', 'surprised', 'went', 'spent', 'evening', 'french', 'guy', 'met', 'town', 'fooled', 'bit', 'let', 'fuck']"
ham,"Not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u..",82,"['chikku', 'k', 'wat', 'abt', 'tht', 'guy', 'stopped', 'irritating', 'msging']"
ham,Dear how is chechi. Did you talk to her,39,"['dear', 'chechi', 'talk']"
ham,Btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude,114,"['btw', 'try', 'guy', 'commit', 'random', 'dude']"
ham,Ok i msg u b4 i leave my house.,31,"['ok', 'msg', 'leave', 'house']"
ham,Ok i go change also...,22,"['ok', 'change']"
ham,Should I head straight there or what,36,"['head', 'straight']"
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.,160,"['send', 'logo', 'lover', 'names', 'joined', 'heart', 'txt', 'love', 'mobno', 'eg', 'love', 'adam', 'eve', 'yahoo', 'txtno', 'ads']"
ham,"The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!, Gud night....",127,"['world', 'suffers', 'lot', 'violence', 'bad', 'people', 'silence', 'good', 'people', 'gud', 'night']"
ham,HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX,108,"['hi', 'darlin', 've', 'got', 'nice', 'night', 'thanks', 'lift', 'tomorrow', 'xxx']"
ham,U having lunch alone? I now so bored...,39,"['having', 'lunch', 'bored']"
ham,S but not able to sleep.,24,"['s', 'able', 'sleep']"
ham,"Sir, I need AXIS BANK account no and bank address.",50,"['sir', 'need', 'axis', 'bank', 'account', 'bank', 'address']"
spam,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,73,"['monthly', 'password', 'wap', 'use', 'wap', 'phone', 'pc']"
spam,"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only £1.50/week. SavaMob - offers mobile!",158,"['weeks', 'savamob', 'member', 'offers', 'accessible', 'details', 'savamob', 'pobox', 'week', 'savamob', 'offers', 'mobile']"
ham,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now,117,"['usually', 'person', 'unconscious', 'children', 'adults', 'behave', 'abnormally']"
ham,In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8,160,"['life', 'face', 'choices', 'toss', 'coin', 'becoz', 'settle', 'question', 'coin', 'air', 'know', 'heart', 'hoping']"
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)",158,"['honeybee', 'said', 'd', 'sweetest', 'd', 'world', 'god', 'laughed', 'amp', 'said', 'wait', 'havnt', 'met', 'd', 'person', 'reading', 'msg', 'moral', 'god', 'crack', 'jokes']"
ham,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",157,"['shit', 'shocking', 'scary', 'nt', 'imagine', 'second', 'def', 'night', 'think', 'crash', 'night', 'save', 'taxi']"
spam,You have 1 new message. Please call 08712400200.,48,"['new', 'message']"
ham,i thought we were doing a king of the hill thing there.,55,"['thought', 'king', 'hill', 'thing']"
ham,If u dun drive then how i go 2 sch.,35,"['dun', 'drive', 'sch']"
ham,Nothing spl..wat abt u and whr ru?,34,"['spl', 'wat', 'abt', 'whr', 'ru']"
ham,At what time are you coming.,28,"['time', 'coming']"
ham,Host-based IDPS for linux systems.,34,"['host', 'based', 'idps', 'linux', 'systems']"
ham,Enjoy urself tmr...,19,"['enjoy', 'urself', 'tmr']"
ham,I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon,101,"['letters', 'copy', 'cos', 'message', 'speak', 'soon']"
ham,"Cool, text me when you're parked",32,"['cool', 'text', 'parked']"
ham,"Did you say bold, then torch later. Or one torch and 2bold?",59,"['bold', 'torch', 'later', 'torch']"
ham,I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night,150,"['dying', 'man', 'feel', 'sad', 'wanted', 'know', 'probably', 'gone', 'late', 'night']"
ham,Yes :)it completely in out of form:)clark also utter waste.,59,"['yes', 'completely', 'utter', 'waste']"
spam,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",147,"['reminder', 'pounds', 'free', 'credit', 'details', 'great', 'offers', 'pls', 'reply', 'text', 'valid', 'house', 'postcode']"
ham,Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.,80,"['hi', 'moved', 'pub', 'great', 'c', 'cud', 'come']"
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,144,"['forced', 'eat', 'slice', 'hungry', 'tho', 'sucks', 'mark', 'getting', 'worried', 'knows', 'sick', 'turn', 'pizza', 'lol']"
ham,"Hey , is * rite u put »10 evey mnth is that all?",48,"['hey', 'rite', 'evey', 'mnth']"
ham,Y ü wan to go there? C doctor?,30,"['y', 'ü', 'wan', 'c', 'doctor']"
ham,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training.",276,"['knew', 'giving', 'break', 'times', 'woul', 'lead', 'wanting', 'miss', 'curfew', 'gon', 'na', 'gibe', 'til', 'midnight', 'movie', 'gon', 'na', 'til', 'need', 'come', 'home', 'need', 'getsleep', 'need', 'b', 'studdying', 'ear', 'training']"
ham,Yes. that will be fine. Love you. Be safe.,42,"['yes', 'fine', 'love', 'safe']"
ham,ok. I am a gentleman and will treat you with dignity and respect.,65,"['ok', 'gentleman', 'treat', 'dignity', 'respect']"
ham,Did u turn on the heater? The heater was on and set to &lt;#&gt; degrees.,73,"['turn', 'heater', 'heater', 'set', 'degrees']"
ham,"I noe la... U wana pei bf oso rite... K lor, other days den...",62,"['noe', 'la', 'wana', 'pei', 'bf', 'oso', 'rite', 'k', 'lor', 'days', 'den']"
ham,Yup i thk so until e shop closes lor.,37,"['yup', 'thk', 'e', 'shop', 'closes', 'lor']"
ham,Oh:)as usual vijay film or its different?,41,"['usual', 'vijay', 'film', 'different']"
spam,Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Calls£1/minMobsmore LKPOBOX177HP51FL,160,"['new', 'club', 'nt', 'fink', 'met', 'b', 'c', 'leave', 'msg', 'wiv', 'area', 'reply', 'promised', 'carlie', 'x', 'minmobsmore']"
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",128,"['god', 'picked', 'flower', 'dippeditinadew', 'lovingly', 'touched', 'itwhichturnedinto', 'gifted', 'tomeandsaid', 'friend']"
ham,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs",87,"['know', 'wot', 'people', 'wear', 't', 'shirts', 'jumpers', 'hat', 'belt', 'know', 'r', 'cribbs']"
ham,"Sorry, I'll call later",22,"['sorry', 'later']"
ham,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,123,"['ha', 'e', 'thing', 'got', 'tv', 'watch', 'thk', 'tonight', 'haf', 'smth', 'mind']"
ham,Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?,62,"['aiyo', 'poor', 'thing', 'dun', 'wan', 'eat', 'bathe']"
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",163,"['slowly', 'god', 'love', 'amp', 'need', 'clean', 'heart', 'special', 'people', 'amp', 'c', 'miracle', 'tomorrow', 'pls', 'pls']"
ham,Ok. I only ask abt e movie. U wan ktv oso?,42,"['ok', 'ask', 'abt', 'e', 'movie', 'wan', 'ktv', 'oso']"
ham,"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: ""GOODMORNING &amp; HAVE A NICE DAY"" :)",132,"['cool', 'breeze', 'bright', 'sun', 'fresh', 'flower', 'twittering', 'birds', 'waiting', 'wish', 'goodmorning', 'amp', 'nice', 'day']"
ham,"Aight yo, dats straight dogg",28,"['aight', 'yo', 'dats', 'straight', 'dogg']"
ham,But you were together so you should be thinkin about him,56,['thinkin']
ham,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x,126,"['thing', 'r', 'good', 'thanx', 'got', 'exams', 'march', 've', 'revision', 'fran', 'boyf', 've', 'got', 'ta', 'interviw', 'exeter', 'bit']"
ham,Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-),88,"['ya', 'knw', 'vl', 'giv', 'ok', 'thanks', 'kano', 'enjoy', 'wit', 'family', 'wit', 'salary']"
ham,Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer,108,"['becoz', 'jan', 'whn', 'al', 'post', 'ofice', 'holiday', 'cn', 'fr', 'post', 'ofice', 'got', 'duffer']"
ham,This pay is  &lt;DECIMAL&gt;  lakhs:),37,"['pay', 'lakhs']"
ham,Probably earlier than that if the station's where I think it is,63,"['probably', 'earlier', 'station', 'think']"
ham,Mine here like all fr china then so noisy.,42,"['like', 'fr', 'china', 'noisy']"
ham,I will be gentle princess! We will make sweet gentle love...,60,"['gentle', 'princess', 'sweet', 'gentle', 'love']"
ham,God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!,157,"['god', 'created', 'gap', 'btwn', 'fingers', 'dat', 'vry', 'special', 'fill', 'gaps', 'holding', 'hands', 'plz', 'nt', 'ask', 'y', 'created', 'gap', 'legs']"
ham,"Now, whats your house # again ? And do you have any beer there ?",64,"['s', 'house', 'beer']"
ham,"It's fine, imma get a drink or somethin. Want me to come find you?",66,"['fine', 'imma', 'drink', 'somethin', 'want', 'come', 'find']"
ham,Also remember the beads don't come off. Ever.,45,"['remember', 'beads', 'come']"
ham,Yeah but which is worse for i,29,"['yeah', 'worse']"
spam,"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!",157,"['xmas', 'new', 'years', 'eve', 'tickets', 'sale', 'club', 'day', 'till', 'pm', 'thurs', 'fri', 'sat', 'night', 'week', 'selling', 'fast']"
ham,I'm working technical support :)voice process.,46,"['working', 'technical', 'support', 'voice', 'process']"
ham,"sorry brah, just finished the last of my exams, what up",55,"['sorry', 'brah', 'finished', 'exams']"
ham,Yar he quite clever but aft many guesses lor. He got ask me 2 bring but i thk darren not so willing 2 go. Aiya they thk leona still not attach wat.,147,"['yar', 'clever', 'aft', 'guesses', 'lor', 'got', 'ask', 'bring', 'thk', 'darren', 'willing', 'aiya', 'thk', 'leona', 'attach', 'wat']"
ham,Remember on that day..,22,"['remember', 'day']"
ham,I love to give massages. I use lots of baby oil... What is your fave position?,78,"['love', 'massages', 'use', 'lots', 'baby', 'oil', 'fave', 'position']"
ham,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh,103,"['leaving', 'qatar', 'tonite', 'search', 'went', 'add', 'prayers']"
ham,Good night. Am going to sleep.,30,"['good', 'night', 'going', 'sleep']"
ham,"Babe, I need your advice",24,"['babe', 'need', 'advice']"
ham,Its posible dnt live in  &lt;#&gt; century cm frwd n thnk different,67,"['posible', 'dnt', 'live', 'century', 'cm', 'frwd', 'n', 'thnk', 'different']"
ham,"Found it, ENC  &lt;#&gt; , where you at?",40,"['found', 'enc']"
ham,Sorry for the delay. Yes masters,32,"['sorry', 'delay', 'yes', 'masters']"
ham,Ü eatin later but i'm eatin wif my frens now lei... Ü going home first? ,72,"['ü', 'eatin', 'later', 'eatin', 'wif', 'frens', 'lei', 'ü', 'going', 'home']"
ham,"Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me",92,"['aight', 'text', 'mu', 'swing', 'need', 'somebody', 'door']"
spam,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",155,"['goal', 'arsenal', 'henry', 'v', 'liverpool', 'henry', 'scores', 'simple', 'shot', 'yards', 'pass', 'bergkamp', 'arsenal', 'goal', 'margin', 'mins']"
ham,HI DARLIN IM MISSIN U HOPE YOU ARE HAVING A GOOD TIME. WHEN ARE U BACK AND WHAT TIME IF U CAN GIVE ME A CALL AT HOME. JESS XX,125,"['hi', 'darlin', 'm', 'missin', 'hope', 'having', 'good', 'time', 'time', 'home', 'jess', 'xx']"
ham,To day class is there are no class.,35,"['day', 'class', 'class']"
ham,"Hmm, too many of them unfortunately... Pics obviously arent hot cakes. Its kinda fun tho",88,"['hmm', 'unfortunately', 'pics', 'obviously', 'nt', 'hot', 'cakes', 'kinda', 'fun', 'tho']"
ham,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.,63,"['dnt', 'worry', 'use', 'ice', 'pieces', 'cloth', 'tablets']"
ham,Are you available for soiree on June 3rd?,41,"['available', 'soiree', 'june']"
ham,What you did in  leave.,23,['leave']
ham,"Text me when you get off, don't call, my phones having problems",63,"['text', 'phones', 'having', 'problems']"
ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",276,"['japanese', 'proverb', 'indian', 'version', 'let', 'leave', 'finally', 'kerala', 'version', 'stop', 'strike']"
ham,I just saw ron burgundy captaining a party boat so yeah,55,"['saw', 'ron', 'burgundy', 'captaining', 'party', 'boat', 'yeah']"
ham,U guys never invite me anywhere :(,34,"['guys', 'invite']"
ham,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...,77,"['huh', 'slow', 'tot', 'reach', 'long', 'ago', 'liao', 'days', 'leh']"
spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",162,"['ve', 'won', 'costa', 'del', 'sol', 'holiday', 'await', 'collection', 'toclaim', 'sae', 'tc', 's', 'stockport', 'pm']"
ham,No da. I am happy that we sit together na,41,"['da', 'happy', 'sit', 'na']"
ham,Me too baby! I promise to treat you well! I bet you will take good care of me...,80,"['baby', 'promise', 'treat', 'bet', 'good', 'care']"
ham,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up",67,"['yeah', 'bit', 'left', 'swing', 'tomorrow']"
ham,There are many company. Tell me the language.,45,"['company', 'tell', 'language']"
spam,Text BANNEDUK to 89555 to see! cost 150p textoperator g696ga 18+ XXX,68,"['text', 'banneduk', 'cost', 'textoperator', 'xxx']"
ham,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,45,"['ish', 'minutes', 'minutes', 'ago', 'wtf']"
ham,I'm in school now n i'll be in da lab doing some stuff give me a call when ü r done.,84,"['school', 'n', 'da', 'lab', 'stuff', 'ü', 'r']"
ham,All sounds good. Fingers . Makes it difficult to type,53,"['sounds', 'good', 'fingers', 'makes', 'difficult', 'type']"
spam,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,135,"['natalie', 'f', 'inviting', 'friend', 'reply', 'stop', 'send', 'stop', 'frnd']"
ham,will you like to be spoiled? :),31,"['like', 'spoiled']"
ham,… and don‘t worry we‘ll have finished by march … ish!,53,"['worry', 'finished', 'march', 'ish']"
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,156,"['urgent', 'trying', 'contact', 'todays', 'draw', 'shows', 'won', 'prize', 'guaranteed', 'land', 'line', 'claim']"
ham,Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar,118,"['people', 'tour', 'thought', 'sofa', 'thing', 'sent', 'curious', 'sugar']"
ham,Did you stitch his trouser,26,"['stitch', 'trouser']"
ham,I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.,205,"['wish', 'things', 'different', 'wonder', 'able', 'value', 'pls', 'continue', 'brisk', 'walks', 'drugs', 'askin', 'find', 'things', 'laugh', 'love', 'dearly']"
